0,1,2
Dodd-Frank Act Orderly Liquidation Authority Provisions,,143
Consumer Protection Laws,,145
"Forfeiture for Drug, RICO and Money Laundering Violations",,147
Other Limitations,,147
MATERIAL U.S. FEDERAL INCOME TAX CONSIDERATIONS,,148
Tax Regulations for Related-Party Note Acquisitions,,149
Tax Treatment of the Trust,,150
Tax Consequences to U.S. Holders of the Notes,,150
Tax Consequences to Non-U.S. Holders of the Notes,,153
Foreign Account Tax Compliance,,154
Backup Withholding and Information Reporting,,154
Possible Alternative Treatments of the Notes and the Trust,,156
STATE TAX CONSIDERATIONS,,157
CERTAIN CONSIDERATIONS FOR ERISA AND OTHER U.S. BENEFIT PLANS,,158
CERTAIN INVESTMENT COMPANY ACT CONSIDERATIONS,,160
UNDERWRITING,,160
United Kingdom,,162
European Economic Area,,163
LEGAL OPINIONS,,163
GLOSSARY,,164
"ANNEX A GLOBAL CLEARANCE, SETTLEMENT AND TAX DOCUMENTATION PROCEDURES",,A-1
