0,1
Floating  Rate Securities,125.0
Book-Entry  Registration,125.0
Definitive  Securities,128.0
,
DESCRIPTION  OF THE TRANSFER AND SERVICING AGREEMENTS,129.0
Sale and  Assignment of Receivables; Representations and Warranties,129.0
Asset Representations  Review,131.0
Dispute  Resolution,134.0
Accounts,135.0
Servicing  Procedures,136.0
Servicing  Compensation,137.0
Insurance  on Financed Vehicles,138.0
Collections,138.0
Electronic  Contracts,139.0
Advances,140.0
Net Deposits,140.0
Statements  to Securityholders,140.0
Noteholder  Communication,142.0
List of Noteholders,143.0
Evidence  as to Compliance,143.0
Certain  Matters Regarding the Servicer,144.0
Servicer  Default,144.0
Rights  Upon Servicer Default; Removal of Servicer,145.0
Waiver  of Past Defaults,145.0
Amendment,146.0
List of Certificateholders,146.0
Insolvency  Event,147.0
Payment of Notes,147.0
Termination;  Optional Redemption,147.0
Administration  Agreement,148.0
"Duties  of the Owner Trustee, the Delaware Trustee and the Indenture Trustee",149.0
"The Owner  Trustee, the Delaware Trustee and the Indenture Trustee",150.0
Fees and  Expenses,151.0
,
LEGAL  PROCEEDINGS,151.0
,
CERTAIN  LEGAL ASPECTS OF THE RECEIVABLES,152.0
General,152.0
Security  Interests,152.0
Repossession,154.0
Notice  of Sale; Redemption Rights,154.0
Deficiency  Judgments and Excess Proceeds,155.0
