0,1,2,3,4
,,,,
IMPORTANT NOTICE ABOUT INFORMATION PRESENTED IN THIS PROSPECTUS,,,i,
FORWARD LOOKING STATEMENTS,,,i,
NOTICES TO RESIDENTS OF THE UNITED KINGDOM,,,i,
NOTICES TO RESIDENTS OF THE EUROPEAN ECONOMIC AREA,,,ii,
SUMMARY,,,1,
RISK FACTORS,,,9,
SUMMARY OF TRANSACTION PARTIES*,,,24,
SUMMARY OF MONTHLY DEPOSITS TO AND WITHDRAWALS FROM ACCOUNTS*,,,25,
THE SPONSOR,,,26,
ACQUISITION AND UNDERWRITING,,,27,
Acquisition and Underwriting,,,27,
Underwriting Exceptions,,,28,
Subvention,,,28,
THE SERVICER,,,29,
SERVICING PROCEDURES,,,30,
Collections,,,32,
Servicing Compensation and Payment of Expenses,,,32,
THE TRUST,,,33,
Capitalization of the Trust,,,34,
THE RECEIVABLES POOL,,,34,
Tangible and Electronic Contracting,,,35,
Criteria Applicable to the Selection of Receivables,,,35,
Composition of the Receivables Pool—(Total: New and Used),,,37,
Composition of the Receivables Pool—(New),,,37,
Composition of the Receivables Pool—(Used),,,37,
Distribution of the Receivables Pool by Annual Percentage Rate—Aggregate,,,38,
Distribution of the Receivables Pool by State,,,38,
Distribution of the Receivables Pool by Loan-to-Value Ratio,,,39,
Distribution of the Receivables Pool by FICO Score,,,39,
Distribution of the Receivables Pool by Original Term,,,39,
Distribution of the Receivables Pool by Vehicle Make,,,40,
Distribution of the Receivables Pool by Vehicle Model,,,40,
Depositor Review of the Receivables Pool,,,40,
Exceptions to Underwriting Guidelines,,,42,
Asset Representations Review,,,43,
Dispute Resolution,,,46,
REPURCHASE HISTORY,,,48,
ASSET-LEVEL DATA FOR THE RECEIVABLES,,,48,
THE SPONSOR’S PORTFOLIO DATA,,,49,
"Delinquencies, Repossessions, Bankruptcies and Net Losses",,,49,
STATIC POOL INFORMATION,,,52,
WEIGHTED AVERAGE LIFE OF THE OFFERED NOTES,,,53,
Percent of Initial Note Principal Balance Outstanding at Various ABS Percentages,,,55,
THE NOTES,,,75,
Distributions,,,75,
