0,1,2,3,4
,,,,
,,Page,Page,
PRIORITY OF PAYMENTS,,,123,
OVERCOLLATERALIZATION,,,125,
EXCESS INTEREST,,,125,
OPTIONAL REDEMPTION,,,125,
FEES AND EXPENSES,,,126,
"INDEMNIFICATION OF THE INDENTURE TRUSTEE, THE OWNER TRUSTEE AND THE GRANTOR  TRUST TRUSTEE",,,126,
SERVICING COMPENSATION AND EXPENSES,,,127,
"COLLECTION, EXTENSIONS AND MODIFICATIONS OF RECEIVABLES",,,128,
REALIZATION UPON DEFAULTED RECEIVABLES,,,129,
SERVICER REPLACEMENT EVENTS,,,130,
"RESIGNATION, REMOVAL OR REPLACEMENT OF THE SERVICER",,,131,
WAIVER OF PAST SERVICER REPLACEMENT EVENTS,,,131,
STANDBY SERVICING,,,131,
EVIDENCE AS TO COMPLIANCE,,,132,
,,,,
THE INDENTURE,,,133,
,,,,
MATERIAL COVENANTS,,,133,
NOTEHOLDER COMMUNICATION; LIST OF NOTEHOLDERS,,,133,
ANNUAL COMPLIANCE STATEMENT,,,134,
INDENTURE TRUSTEE’S ANNUAL REPORT,,,134,
DOCUMENTS BY INDENTURE TRUSTEE TO NOTEHOLDERS,,,134,
SATISFACTION AND DISCHARGE OF INDENTURE,,,134,
RESIGNATION OR REMOVAL OF THE INDENTURE TRUSTEE,,,135,
EVENTS OF DEFAULT,,,135,
RIGHTS UPON EVENT OF DEFAULT,,,136,
PRIORITY OF PAYMENTS WILL CHANGE UPON EVENTS OF DEFAULT THAT RESULT IN ACCELERATION,,,137,
AMENDMENT PROVISIONS,,,139,
,,,,
MATERIAL LEGAL ASPECTS OF THE RECEIVABLES,,,141,
,,,,
RIGHTS IN THE RECEIVABLES,,,141,
SECURITY INTERESTS IN THE FINANCED VEHICLES,,,142,
REPOSSESSION,,,144,
NOTICE OF SALE; REDEMPTION RIGHTS,,,144,
DEFICIENCY JUDGMENTS AND EXCESS PROCEEDS,,,144,
CONSUMER PROTECTION LAWS,,,145,
CONSUMER FINANCIAL PROTECTION BUREAU,,,146,
CERTAIN MATTERS RELATING TO BANKRUPTCY,,,147,
REPURCHASE OBLIGATION,,,148,
SERVICEMEMBERS CIVIL RELIEF ACT,,,148,
OTHER LIMITATIONS,,,149,
DODD FRANK ORDERLY LIQUIDATION FRAMEWORK,,,149,
,,,,
LEGAL INVESTMENT,,,152,
,,,,
MONEY MARKET INVESTMENT,,,152,
CERTAIN VOLCKER RULE CONSIDERATIONS,,,153,
,,,,
CERTAIN FEDERAL INCOME TAX CONSIDERATIONS,,,154,
,,,,
THE ISSUING ENTITY,,,155,
THE OFFERED NOTES,,,156,
FOREIGN ACCOUNT TAX COMPLIANCE ACT,,,160,
POSSIBLE ALTERNATIVE TREATMENTS OF THE NOTES AND THE ISSUING ENTITY,,,160,
