0,1,2
WHERE TO FIND INFORMATION IN THIS PROSPECTUS,WHERE TO FIND INFORMATION IN THIS PROSPECTUS,v
REPORTS TO NOTEHOLDERS,REPORTS TO NOTEHOLDERS,vi
NOTICE TO INVESTORS: UNITED KINGDOM,NOTICE TO INVESTORS: UNITED KINGDOM,vii
NOTICE TO INVESTORS: EUROPEAN ECONOMIC AREA,NOTICE TO INVESTORS: EUROPEAN ECONOMIC AREA,viii
SUMMARY OF STRUCTURE AND FLOW OF FUNDS,SUMMARY OF STRUCTURE AND FLOW OF FUNDS,ix
SUMMARY OF TERMS,SUMMARY OF TERMS,1
,THE PARTIES,1
,THE OFFERED NOTES,2
,THE CERTIFICATES,3
,PRIORITY OF PAYMENTS,3
,INTEREST AND PRINCIPAL,4
,EVENTS OF DEFAULT,7
,ISSUING ENTITY PROPERTY,7
,STATISTICAL INFORMATION,9
,CREDIT ENHANCEMENT,10
,TAX STATUS,12
,CERTAIN CONSIDERATIONS FOR ERISA AND OTHER U.S. BENEFIT PLANS,12
,MONEY MARKET INVESTMENT,13
,CREDIT RISK RETENTION,13
,EU SECURITIZATION REGULATION AND UK SECURITIZATION FRAMEWORK,14
,CERTAIN VOLCKER RULE CONSIDERATIONS,14
,RATINGS,14
,REGISTRATION UNDER THE SECURITIES ACT,14
SUMMARY OF RISK FACTORS,SUMMARY OF RISK FACTORS,15
RISK FACTORS,RISK FACTORS,17
USE OF PROCEEDS,USE OF PROCEEDS,35
THE ISSUING ENTITY AND THE GRANTOR TRUST,THE ISSUING ENTITY AND THE GRANTOR TRUST,35
,LIMITED PURPOSE AND LIMITED ASSETS,35
,CAPITALIZATION AND LIABILITIES OF THE ISSUING ENTITY,37
,THE ISSUING ENTITY PROPERTY,38
THE TRUSTEES,THE TRUSTEES,39
,THE OWNER TRUSTEE AND GRANTOR TRUST TRUSTEE,39
,RESIGNATION OR REMOVAL OF THE OWNER TRUSTEE OR THE GRANTOR TRUST TRUSTEE,39
,THE INDENTURE TRUSTEE,40
,"ROLE OF THE OWNER TRUSTEE, GRANTOR TRUST TRUSTEE AND INDENTURE TRUSTEE",41
THE DEPOSITOR,THE DEPOSITOR,42
THE SPONSOR,THE SPONSOR,42
,CREDIT RISK RETENTION,43
ORIGINATION,ORIGINATION,47
,RECEIVABLE AND CALCULATION METHODS,48
,UNDERWRITING OVERVIEW,48
,UNDERWRITING AND CREDIT SCORING MODELS,48
,ANCILLARY PRODUCTS,50
