0,1,2,3,4
,,,,
The Asset Representations Review Agreement,,,120,
General,,,121,
Delinquency Trigger,,,121,
Voting,,,121,
The Asset Representations Review,,,122,
Resignation and Removal,,,123,
The Administration Agreement,,,124,
Material Legal Issues Relating to the Receivables,,,125,
Security Interests in the Receivables,,,125,
Security Interests in the Financed Vehicles,,,125,
Enforcement of Security Interests in Financed Vehicles,,,127,
Certain Bankruptcy Considerations,,,128,
The Dodd-Frank Act,,,128,
Consumer Protection Laws,,,130,
Other Matters,,,131,
Material Federal Income Tax Consequences,,,132,
Tax Characterization of the Issuing Entity,,,133,
Tax Consequences to Holders of the Offered Notes,,,134,
Certain State Tax Consequences,,,139,
Material Considerations for ERISA and Other U.S. Employee Benefit Plan Investors,,,139,
Underwriting,,,142,
Use of Proceeds,,,145,
Credit Risk Retention,,,146,
General,,,146,
Affiliations and Certain Relationships and Related Transactions,,,147,
Ratings of the Notes,,,147,
Legal Proceedings,,,147,
Shelf Compliance Statement,,,147,
Legal Opinions,,,147,
Glossary of Terms,,,148,
Annex I—Static Pool Information,,,A-1-1,
