0,1,2
Reading  this Prospectus,,3
Forward-Looking  Statements,,3
Notice  to Investors in the United Kingdom,,3
Notice  to Investors in the European Economic Area,,4
Transaction  Structure Diagram,,5
Transaction  Credit Enhancement Diagram,,6
Transaction  Payments Diagram,,7
Transaction  Parties and Documents Diagram,,8
Summary,,9
Summary  of Risk Factors,,17
Risk  Factors,,19
Sponsor  and Servicer,,42
General,,42
Ratings  of Sponsor and Servicer,,43
Securitization  Experience,,43
Securitization  Program for Retail Installment Sale Contracts,,44
"Origination,  Underwriting and Purchasing",,44
Origination  Characteristics,,51
"Material  Changes to Origination, Underwriting and Purchasing Policies and Procedures",,52
Servicing  Experience,,53
Servicing  and Collections,,54
"Delinquency,  Repossession and Credit Loss Information",,57
Material  Changes to Servicing Policies and Procedures,,60
Demands  to Repurchase Receivables – Prior Securitized Pools,,61
Static  Pool Information – Prior Securitized Pools,,61
Receivables,,61
Trust  Assets,,61
Selection  of Receivables,,62
Simple  Interest Receivables,,63
Composition  of Receivables,,64
Initial  Asset-Level Data,,76
Depositor  Review of Receivables,,76
Representations  About Receivables,,77
Obligation  to Repurchase Receivables,,78
Asset  Representations Review,,78
Dispute  Resolution for Repurchase Requests,,81
Description  of the Notes,,82
Funds  Available for Payments,,82
Payments  of Interest,,83
Payments  of Principal,,86
Priority  of Payments,,87
Post-Acceleration  Priority of Payments,,90
Events  of Default and Acceleration,,90
"Optional  Redemption or ""Clean Up Call"" Option",,93
Satisfaction  and Discharge of Indenture,,93
Amendments  to Indenture,,93
Noteholder  Communication,,94
Book-Entry  Registration,,95
Computing  Outstanding Principal Amount,,96
Notes  Held by Transaction Parties,,96
Credit  Enhancement,,96
Reserve  Account,,96
