0,1
Reading  this Prospectus,3
Forward-Looking  Statements,3
Notice  to Investors in the United Kingdom,3
Notice  to Investors in the European Economic Area,4
Transaction  Structure Diagram,5
Transaction  Credit Enhancement Diagram,6
Transaction  Payments Diagram,7
Transaction  Parties and Documents Diagram,8
Summary,9
Summary  of Risk Factors,17
Risk  Factors,19
Sponsor  and Servicer,41
General,41
Ratings  of Sponsor and Servicer,42
Securitization  Experience,42
Securitization  Program for Retail Installment Sale Contracts,43
"Origination,  Underwriting and Purchasing",43
Origination  Characteristics,50
"Material  Changes to Origination, Underwriting and Purchasing Policies and Procedures",52
Servicing  Experience,52
Servicing  and Collections,53
"Delinquency,  Repossession and Credit Loss Information",56
Material  Changes to Servicing Policies and Procedures,59
Demands  to Repurchase Receivables – Prior Securitized Pools,59
Static  Pool Information – Prior Securitized Pools,60
Receivables,60
Trust  Assets,60
Selection  of Receivables,61
Simple  Interest Receivables,61
Composition  of Receivables,63
Initial  Asset-Level Data,75
Depositor  Review of Receivables,75
Representations  About Receivables,76
Obligation  to Repurchase Receivables,77
Asset  Representations Review,77
Dispute  Resolution for Repurchase Requests,80
Description  of the Notes,81
Funds  Available for Payments,81
Payments  of Interest,82
Payments  of Principal,85
Priority  of Payments,86
Post-Acceleration  Priority of Payments,88
Events  of Default and Acceleration,88
"Optional  Redemption or ""Clean Up Call"" Option",90
Satisfaction  and Discharge of Indenture,91
Amendments  to Indenture,91
Noteholder  Communication,92
Book-Entry  Registration,93
Computing  Outstanding Principal Amount,94
Notes  Held by Transaction Parties,94
Credit  Enhancement,94
