0,1,2,3,4
,,,,
,,Page,Page,
,,,,
Repossession,,,144,
Notice of Sale; Redemption Rights,,,145,
Deficiency Judgments and Excess Proceeds,,,145,
Consumer Protection Laws,,,146,
Consumer Financial Protection Bureau,,,147,
Certain Matters Relating to Bankruptcy,,,148,
Certain Matters Relating to Insolvency,,,148,
Repurchase Obligation,,,149,
Servicemembers Civil Relief Act,,,149,
Other Limitations,,,150,
Dodd Frank Orderly Liquidation Framework,,,150,
LEGAL INVESTMENT,,,153,
Certain Volcker Rule Considerations,,,153,
Requirements for Certain EU and UK Regulated Persons and Affiliates,,,153,
MATERIAL FEDERAL INCOME TAX CONSEQUENCES,,,155,
The Issuing Entity,,,156,
The Offered Notes,,,157,
Foreign Account Tax Compliance Act,,,161,
Possible Alternative Treatments of the Notes and the Issuing Entity,,,161,
STATE AND LOCAL TAX CONSEQUENCES,,,163,
CERTAIN CONSIDERATIONS FOR ERISA AND OTHER U.S. BENEFIT PLANS,,,163,
UNDERWRITING (CONFLICTS OF INTEREST),,,165,
Conflicts of Interest,,,167,
Offering Restrictions,,,168,
United Kingdom – Prohibition on Offers to UK Retail Investors,,,168,
United Kingdom – Other Regulatory Restrictions,,,168,
European Economic Area,,,169,
FORWARD-LOOKING STATEMENTS,,,169,
LEGAL PROCEEDINGS,,,170,
LEGAL MATTERS,,,170,
GLOSSARY,,,171,
INDEX,,,I-1,
APPENDIX A STATIC POOL INFORMATION ABOUT CERTAIN PREVIOUS SECURITIZATIONS,,,A-1,
