0,1
SUMMARY OF PARTIES TO THE TRANSACTION,6
SUMMARY OF MONTHLY DISTRIBUTIONS OF COLLECTIONS,7
SUMMARY OF TERMS,8
SUMMARY OF RISK FACTORS,27
RISK FACTORS,29
THE ISSUING ENTITY,50
CAPITALIZATION OF THE ISSUING ENTITY,52
THE DEPOSITOR,54
"THE SPONSOR, ADMINISTRATOR AND SERVICER",54
Credit Risk Retention,55
Underwriting of Motor Vehicle Retail Installment Sales Contracts,56
Electronic Contracts and Electronic Contracting,57
Servicing of Motor Vehicle Retail Installment Sales Contracts,58
Securitization Experience,59
THE TRUSTEES,60
Duties of the Owner Trustee and Indenture Trustee,61
FEES AND EXPENSES,63
ASSET REPRESENTATIONS REVIEWER,63
General,63
Resignation and Removal,64
Indemnity and Liability,64
AFFILIATIONS AND CERTAIN RELATIONSHIPS,65
THE RECEIVABLES,65
Asset-Level Data for the Receivables,79
POOL UNDERWRITING,79
REVIEW OF POOL ASSETS,80
"DELINQUENCIES, REPOSSESSIONS AND NET LOSSES",81
ASSET REPRESENTATIONS REVIEW,84
Delinquency Trigger,86
REPURCHASES OF RECEIVABLES,87
Dispute Resolution,89
STATIC POOLS,90
USE OF PROCEEDS,90
PREPAYMENT AND YIELD CONSIDERATIONS,90
WEIGHTED AVERAGE LIVES OF THE NOTES,92
POOL FACTORS AND TRADING INFORMATION,117
DESCRIPTION OF THE NOTES,117
General,117
Payments of Interest,117
Payments of Principal,122
Allocation of Losses,123
Indenture,123
Notices,127
Governing Law,127
Minimum Denominations,127
Book-Entry Registration,127
Definitive Securities,131
List of Securityholders,132
Reports to Securityholders,132
PAYMENTS TO NOTEHOLDERS,134
Calculation of Available Collections,134
Calculation of Principal Distribution Amounts,135
Priority of Payments,135
Payments After Occurrence of Event of Default Resulting in Acceleration,136
