0,1
Important Notice About Information in this Prospectus,5
Reading this Prospectus,5
Forward-Looking Statements,6
Copies of the Documents,6
Note Legend,6
Notice to Investors: United Kingdom,7
Notice to Investors: European Economic Area,7
Trust and Transaction Structure Diagram,9
Transaction Credit and Payment Enhancement Diagram,11
Transaction Parties and Documents Diagram,12
Transaction Payments Diagram,13
Summary,14
Glossary,38
Risk Factors,38
Summary of Principal Risk Factors,38
Descriptions of the Transaction Documents,77
The Trust,77
Addition of Receivables,79
Release of Receivables,80
Issuance of Additional Group 1 Series,81
Depositor,82
Owner Trustee,82
Master Collateral Agent and Indenture Trustee,84
Master Collateral Agent,85
Indenture Trustee,87
Asset Representations Reviewer,90
"Sponsor, Servicer, Custodian, Marketing Agent and Administrator",92
General,92
Sponsor,92
