0,1
"Concentrations Based on Property Type, Geography, Related Borrowers and Other Factors May Disproportionately Increase Losses",95
Adverse Environmental Conditions at or Near Mortgaged Properties May Result in Losses,97
"Risks Related to Redevelopment, Expansion and Renovation at Mortgaged Properties",98
Some Mortgaged Properties May Not Be Readily Convertible to Alternative Uses,99
Risks Related to Zoning Non-Compliance and Use Restrictions,102
Risks Relating to Inspections of Properties,103
Risks Relating to Costs of Compliance with Applicable Laws and Regulations,103
Insurance May Not Be Available or Adequate,104
Inadequacy of Title Insurers May Adversely Affect Distributions on Your Certificates,105
Terrorism Insurance May Not Be Available for All Mortgaged Properties,105
Risks Associated with Blanket Insurance Policies or Self-Insurance,107
Condemnation of a Mortgaged Property May Adversely Affect Distributions on Certificates,107
Limited Information Causes Uncertainty,107
Historical Information,107
Ongoing Information,108
Underwritten Net Cash Flow Could Be Based On Incorrect or Flawed Assumptions,108
Frequent and Early Occurrence of Borrower Delinquencies and Defaults May Adversely Affect Your Investment,109
The Mortgage Loans Have Not Been Reviewed or Re-Underwritten by Us; Some Mortgage Loans May Not Have Complied With Another Originator’s Underwriting Criteria,110
Static Pool Data Would Not Be Indicative of the Performance of this Pool,111
Appraisals May Not Reflect Current or Future Market Value of Each Property,111
The Performance of a Mortgage Loan and Its Related Mortgaged Property Depends in Part on Who Controls the Borrower and Mortgaged Property,113
The Borrower’s Form of Entity May Cause Special Risks,113
A Bankruptcy Proceeding May Result in Losses and Delays in Realizing on the Mortgage Loans,116
Litigation Regarding the Mortgaged Properties or Borrowers May Impair Your Distributions,117
Other Financings or Ability to Incur Other Indebtedness Entails Risk,118
Risks Relating to Shari’ah Compliant Loans,119
Tenancies-in-Common May Hinder Recovery,120
Risks Relating to Delaware Statutory Trusts,121
Risks Relating to Enforceability of Cross-Collateralization,121
"Risks Relating to Enforceability of Yield Maintenance Charges, Prepayment Premiums or Defeasance Provisions",121
Risks Associated with One Action Rules,122
State Law Limitations on Assignments of Leases and Rents May Entail Risks,122
Various Other Laws Could Affect the Exercise of Lender’s Rights,123
Cash Management Operations Entail Certain Risks That Could Adversely Affect Distributions on Your Certificates,123
Borrower May Be Unable to Repay Remaining Principal Balance on Maturity Date; Longer Amortization Schedules and Interest-Only Provisions Increase Risk,124
