0,1
Table  of Contents,Table  of Contents
Section,Pages
Certificate  Distribution Detail,2
Certificate  Factor Detail,3
Certificate  Interest Reconciliation Detail,4
Exchangeable  Certificate Detail,5
Exchangeable  Certificate Factor Detail,6
Additional  Information,7
Bond  / Collateral Reconciliation - Cash Flows,8
Bond  / Collateral Reconciliation - Balances,9
Current  Mortgage Loan and Property Stratification,10-14
Mortgage  Loan Detail (Part 1),15
Mortgage  Loan Detail (Part 2),16
Principal  Prepayment Detail,17
Historical  Detail,18
Delinquency  Loan Detail,19
Collateral  Stratification and Historical Detail,20
Specially  Serviced Loan Detail - Part 1,21
Specially  Serviced Loan Detail - Part 2,22
Modified  Loan Detail,23
Historical  Liquidated Loan Detail,24
Historical  Bond / Collateral Loss Reconciliation Detail,25
Interest  Shortfall Detail - Collateral Level,26
Supplemental  Notes,27
,
,
